Country,Year,Density,DensityRound
Afghanistan,2021,61,61
Africa,2021,47,47
Albania,2021,104,104
Algeria,2021,18,18
American Samoa,2021,225,225
Andorra,2021,168,168
Angola,2021,27,27
Antigua and Barbuda,2021,211,211
Argentina,2021,16,16
Armenia,2021,98,98
Aruba,2021,591,591
Asia,2021,150,150
Australia,2021,3,3
Austria,2021,108,108
Azerbaijan,2021,124,124
Bahamas,2021,40,40
Bahrain,2021,1875,1875
Bangladesh,2021,1301,1301
Barbados,2021,653,653
Belarus,2021,47,47
Belgium,2021,383,383
Belize,2021,17,17
Benin,2021,115.262001,115
Bermuda,2021,1189.130005,1189
Bhutan,2021,20.38500023,20
Bolivia,2021,11.15100002,11
Bosnia and Herzegovina,2021,63.88600159,64
Botswana,2021,4.566999912,5
Brazil,2021,25.64299965,26
British Virgin Islands,2021,207.6329956,208
Brunei,2021,84.51300049,85
Bulgaria,2021,63.42900085,63
Burkina Faso,2021,80.77700043,81
Burundi,2021,488.7539978,489
Cambodia,2021,93.97799683,94
Cameroon,2021,57.5379982,58
Canada,2021,4.256000042,4
Cape Verde,2021,145.8899994,146
Cayman Islands,2021,283.9880066,284
Central African Rep.,2021,8.760000229,9
Chad,2021,13.64299965,14
Chile,2021,26.21699905,26
China,2021,151.2929993,151
Colombia,2021,46.43199921,46
Comoros,2021,441.5,442
Congo,2021,17.0890007,17
Costa Rica,2021,100.939003,101
Cote d'Ivoire,2021,86.41000366,86
Croatia,2021,71.74700165,72
Cuba,2021,108.4430008,108
Cyprus,2021,134.6529999,135
Czechia,2021,136.1499939,136
Dem. Rep. Congo,2021,42.29899979,42
Denmark,2021,146.3560028,146
Djibouti,2021,47.69499969,48
Dominica,2021,96.58000183,97
Dominican Republic,2021,230.1360016,230
Ecuador,2021,71.66100311,72
Egypt,2021,109.762001,110
El Salvador,2021,304.7380066,305
Equatorial Guinea,2021,58.27000046,58
Eritrea,2021,35.84500122,36
Estonia,2021,30.56599998,31
Eswatini,2021,69.31800079,69
Ethiopia,2021,106.5110016,107
Europe,2021,33.70399857,34
European Union (27),2021,111.2730026,111
Faeroe Islands,2021,37.90499878,38
Fiji,2021,50.60800171,51
Finland,2021,18.21500015,18
France,2021,117.8529968,118
French Polynesia,2021,86.37400055,86
Gabon,2021,9.086000443,9
Gambia,2021,260.8619995,261
Georgia,2021,54.07899857,54
Germany,2021,238.7330017,239
Ghana,2021,144.2960052,144
Gibraltar,2021,3269.800049,3270
Greece,2021,81.03500366,81
Greenland,2021,0.136999995,1
Grenada,2021,366.5409851,367
Guam,2021,315.8259888,316
Guatemala,2021,164.3200073,164
Guinea,2021,55.06999969,55
Guinea-Bissau,2021,73.28299713,73
Guyana,2021,4.086999893,4
Haiti,2021,415.368988,415
Honduras,2021,91.86100006,92
Hong Kong,2021,7137.694824,7138
Hungary,2021,106.3970032,106
Iceland,2021,3.673000097,4
India,2021,473.4190063,473
Indonesia,2021,145.8059998,146
Iran,2021,53.98199844,54
Iraq,2021,100.2779999,100
Ireland,2021,72.38400269,72
Israel,2021,411.2780151,411
Italy,2021,198.9730072,199
Jamaica,2021,261.098999,261
Japan,2021,341.8729858,342
Jordan,2021,125.5719986,126
Kazakhstan,2021,7.111000061,7
Kenya,2021,93.13300323,93
Kiribati,2021,159.1150055,159
Kuwait,2021,238.5019989,239
Kyrgyzstan,2021,34.0340004,34
Laos,2021,32.17100143,32
Latvia,2021,30.18099976,30
Lebanon,2021,546.6890259,547
Lesotho,2021,75.14700317,75
Liberia,2021,53.91799927,54
Libya,2021,3.828000069,4
Liechtenstein,2021,244.1119995,244
Lithuania,2021,44.49399948,44
Luxembourg,2021,263.098999,263
Macao,2021,20869.78516,20870
Madagascar,2021,49.70000076,50
Malawi,2021,210.9649963,211
Malaysia,2021,102.1880035,102
Maldives,2021,1738.22998,1738
Mali,2021,17.95199966,18
Malta,2021,1646.097046,1646
Marshall Islands,2021,233.7440033,234
Mauritania,2021,4.478000164,4
Mauritius,2021,639.8629761,640
Mexico,2021,65.17900085,65
Micronesia (country),2021,161.6329956,162
Moldova,2021,93.09700012,93
Monaco,2021,18111.98828,18112
Mongolia,2021,2.150000095,2
Montenegro,2021,46.68099976,47
Morocco,2021,83.07499695,83
Mozambique,2021,40.79100037,41
Myanmar,2021,82.41300201,82
Namibia,2021,3.072999954,3
Nauru,2021,626.6500244,627
Nepal,2021,209.5220032,210
Netherlands,2021,519.8010254,520
New Caledonia,2021,15.74400043,16
New Zealand,2021,19.48200035,19
Nicaragua,2021,56.92699814,57
Niger,2021,19.93600082,20
Nigeria,2021,234.3090057,234
North America,2021,28.17200089,28
North Korea,2021,215.6959991,216
North Macedonia,2021,83.39900208,83
Northern Mariana Islands,2021,107.6149979,108
Norway,2021,14.79800034,15
Oceania,2021,5.236999989,5
Oman,2021,14.60599995,15
Pakistan,2021,300.1789856,300
Palau,2021,39.23899841,39
Palestine,2021,852.7230225,853
Panama,2021,58.6609993,59
Papua New Guinea,2021,21.96999931,22
Paraguay,2021,16.87299919,17
Peru,2021,26.34000015,26
Philippines,2021,381.9309998,382
Poland,2021,125.1190033,125
Portugal,2021,112.3310013,112
Puerto Rico,2021,367.0830078,367
Qatar,2021,233.9629974,234
Romania,2021,84.00800323,84
Russia,2021,8.859999657,9
Rwanda,2021,545.6790161,546
Saint Kitts and Nevis,2021,183.1959991,183
Saint Lucia,2021,294.5299988,295
Saint Martin (French part),2021,639.2800293,639
Saint Vincent and the Grenadines,2021,267.5379944,268
Samoa,2021,77.30799866,77
San Marino,2021,562.8670044,563
Sao Tome and Principe,2021,232.4149933,232
Saudi Arabia,2021,16.72400093,17
Senegal,2021,87.65799713,88
Serbia,2021,83.43000031,83
Seychelles,2021,231.4909973,231
Sierra Leone,2021,116.6620026,117
Singapore,2021,8379.496094,8379
Sint Maarten (Dutch part),2021,1295.911987,1296
Slovakia,2021,113.3030014,113
Slovenia,2021,105.2529984,105
Solomon Islands,2021,25.29000092,25
Somalia,2021,27.20299911,27
Somaliland,2021,27.20299911,27
South Africa,2021,48.95899963,49
South America,2021,25.00499916,25
South Korea,2021,531.4819946,531
S. Sudan,2021,17.00900078,17
Spain,2021,95.0490036,95
Sri Lanka,2021,351.9570007,352
Sudan,2021,24.69000053,25
Suriname,2021,3.928999901,4
Sweden,2021,25.69799995,26
Switzerland,2021,219.9459991,220
Syria,2021,116.1269989,116
Tajikistan,2021,70.25099945,70
Tanzania,2021,71.78600311,72
Thailand,2021,140.1499939,140
Timor,2021,88.83300018,89
Togo,2021,158.9420013,159
Tonga,2021,147.2689972,147
Trinidad and Tobago,2021,297.4020081,297
Tunisia,2021,78.93199921,79
Turkey,2021,110.151001,110
Turkmenistan,2021,13.49499989,13
Turks and Caicos Islands,2021,47.51699829,48
Tuvalu,2021,374.2999878,374
Uganda,2021,228.673996,229
Ukraine,2021,75.13200378,75
United Arab Emirates,2021,131.8659973,132
United Kingdom,2021,278.1010132,278
United States of America,2021,36.8409996,37
United States Virgin Islands,2021,286,286
Uruguay,2021,19.57600021,20
Uzbekistan,2021,77.36000061,77
Vanuatu,2021,26.18099976,26
Venezuela,2021,31.97100067,32
Vietnam,2021,314.3420105,314
World,2021,61,61
Yemen,2021,62,62
Zambia,2021,26,26
Zimbabwe,2021,41,41
